date,symbol,open,high,low,close,volume,avg_spread,ticks
2026-01-09,MSFT,478.11,479.8,472.22,479.28,522692,0.8879522699218212,14594
2026-01-09,QQQ,621.93,627.88,619.1,626.61,1243164,0.027964211154189705,16770
2026-01-09,SPY,690.41,695.295,689.21,694.07,2655527,0.017453318543168825,43276
2026-01-09,TSLA,436.92,449.04,430.46,444.8,867678,0.24249431285962805,22461
2026-01-12,GOOGL,326.22,334.025,325.0,332.14,966649,0.5332141875171847,18228
2026-01-12,MSFT,476.41,480.99,475.3,476.96,607863,0.49209513960703205,14551
2026-01-12,QQQ,621.1,628.84,621.1,626.97,1098103,0.02249951421724147,15478
2026-01-12,SPY,690.0,696.07,690.0,694.75,2096994,0.014635187069062172,35398
2026-01-12,TSLA,441.03,454.25,438.0,448.51,1068210,0.7214022950412199,24140
2026-01-13,GOOGL,334.44,340.47,333.665,336.52,1259448,0.3558525910364142,22984
2026-01-13,MSFT,475.28,477.25,465.975,469.87,758938,1.1963877663024491,20165
2026-01-13,QQQ,626.44,629.49,623.7,625.98,1440269,0.02600087032201834,23006
2026-01-13,SPY,694.77,697.28,691.39,693.5,2437709,0.01506737526131521,39720
2026-01-13,TSLA,448.39,451.78,443.97,447.0,855788,0.24960892049127387,18581
2026-01-14,GOOGL,334.4,336.5,330.5,335.2,1336841,0.25519044886789966,22708
2026-01-14,MSFT,467.91,468.09,457.2,459.09,1055121,0.5209385544678207,24116
2026-01-14,QQQ,622.75,623.48,614.6,618.64,1555780,0.02774471150200916,26417
2026-01-14,SPY,690.91,691.87,686.14,689.71,2592901,0.017375210319685946,44618
2026-01-14,TSLA,443.81,445.23,434.24,438.0,1264153,0.23254495249991838,30432
2026-01-15,GOOGL,337.81,338.21,330.74,332.52,708463,0.30488413932066755,13921
2026-01-15,MSFT,461.09,465.44,455.92,457.18,776880,0.5756839204880918,20520
2026-01-15,QQQ,622.21,627.25,620.835,622.15,1027132,0.037669109947644226,14339
2026-01-15,SPY,691.59,695.44,691.25,692.11,2409859,0.014078010969584758,44129
2026-01-15,TSLA,441.6,445.33,437.65,438.83,936490,0.24175839337728008,19585
2026-01-16,GOOGL,334.97,334.97,327.77,330.0,965116,0.21486613286625802,15995
2026-01-16,MSFT,457.22,463.18,456.5,460.07,575773,0.8099360133537373,14440
2026-01-16,QQQ,625.61,626.01,618.915,621.12,1588607,0.01952656929161556,25541
2026-01-16,SPY,693.62,694.23,690.11,691.5,1978894,0.013607173850158966,34571
2026-01-16,TSLA,441.2,447.21,435.27,437.61,984721,0.19395860161205697,21021
2026-01-20,GOOGL,321.58,327.75,320.26,320.73,1231308,0.27956671315667114,21704
2026-01-20,MSFT,453.6,456.775,448.94,455.0,761345,0.5251021054297936,19198
2026-01-20,QQQ,607.95,615.055,607.05,607.3,1245586,0.17475367028375793,17240
2026-01-20,SPY,680.54,684.745,676.57,678.17,1627697,0.026525784912629143,28173
2026-01-20,TSLA,422.55,430.55,417.48,419.2,1229485,0.22679562237062734,34042
2026-01-21,GOOGL,321.98,332.45,318.39,328.88,1085682,0.588721936148301,19451
2026-01-21,MSFT,452.21,454.54,438.7,445.6,1255388,0.6111722985644632,29411
2026-01-21,QQQ,608.45,620.4,605.63,618.1,1460900,0.036473252320523855,22320
2026-01-21,SPY,679.49,688.73,675.91,685.34,3346635,0.017182762908574123,67573
2026-01-21,TSLA,419.52,438.12,419.4,432.8,995386,0.667400347289215,25916
2026-01-22,GOOGL,334.82,335.23,328.77,330.42,697408,0.29247667664143606,11383
2026-01-22,MSFT,449.2,452.78,444.75,451.1,718915,0.8501843913021017,19600
2026-01-22,QQQ,621.97,622.59,617.8,619.78,833200,0.03161968177101343,11669
2026-01-22,SPY,689.47,691.12,686.92,688.2,1695180,0.01416377643411792,32597
2026-01-22,TSLA,436.66,451.37,432.67,448.66,1060750,0.3977133973996615,24786
2026-01-23,GOOGL,330.97,333.63,327.46,327.84,965578,0.27521666666666683,15677
2026-01-23,MSFT,451.73,471.075,449.07,465.66,1028002,0.6434974830378654,22985
2026-01-23,QQQ,619.38,625.38,618.43,621.42,809188,0.041764943865682226,9897
2026-01-23,SPY,688.7,690.96,687.18,688.04,1636966,0.016957698693423867,27708
2026-01-23,TSLA,448.86,452.43,444.13,448.0,703994,0.37088742715365547,17418
2026-01-26,GOOGL,326.69,335.84,326.69,333.66,715473,0.1851426215993398,12163
2026-01-26,MSFT,466.89,474.23,462.0,471.36,798178,1.3314608944468005,18900
2026-01-26,QQQ,622.13,627.59,619.32,625.8,1375226,0.019265367316341056,20678
2026-01-26,SPY,689.55,694.12,687.31,692.44,1550938,0.01586127662888982,25682
2026-01-26,TSLA,444.44,446.12,434.29,434.7,531079,0.40841321011533843,14016
2026-01-27,GOOGL,334.0,337.91,333.49,334.89,689175,0.27952644041041835,12705
2026-01-27,MSFT,473.46,482.855,472.01,481.07,876044,0.3187635225748768,22500
2026-01-27,QQQ,629.69,632.65,627.37,632.65,966972,0.02463081369887011,11466
2026-01-27,SPY,694.52,696.53,693.58,695.8,1798825,0.013496938881393895,28926
2026-01-27,TSLA,437.79,438.0,430.7,431.5,395170,0.49990429845904205,12388
2026-01-28,GOOGL,335.59,342.4,331.94,341.24,1264621,0.30492304521093827,14638
2026-01-28,MSFT,481.25,483.65,444.35,450.36,740949,1.1218643060836515,17851
